Site No,residual_std
10260500.0,0.5778242284082273
10261500.0,3.8596576526618445
10263000.0,11.409305217962157
10290500.0,0.16897032561153857
10291500.0,0.11474417839848682
10293000.0,1.0054277322615381
10296000.0,0.2997504967960679
10296500.0,1.5138849316962986
10308200.0,0.7002428485306408
10310000.0,4.090017517007257
10336610.0,1.2329017039613792
10336645.0,0.1854529651000547
10336660.0,2.8062327669869913
10336676.0,0.42721789919897657
10336780.0,0.5047653932479037
10337500.0,0.32521006730952007
10338000.0,0.1373869261115066
10338500.0,0.5912510323559248
10339400.0,0.514115249779563
10340500.0,0.6279842351341134
10343000.0,0.2140009056117548
10343500.0,0.0996099378820239
10344400.0,0.16077216199058125
10344500.0,0.164545799997785
10346000.0,0.49142810910301576
11022480.0,0.5474659424959214
11046000.0,1.2040156998878573
11066460.0,1.3886210275639004
11074000.0,0.2646881823954713
11109000.0,2.0436081032762354
11109600.0,1.3304058804835557
11113000.0,1.578414628654417
11113500.0,96.61155660464507
11118500.0,2.4288056624117416
11119500.0,1.1756477836729204
11120500.0,0.8161213212015453
11128500.0,1.5996107462685873
11133000.0,1.363305607081378
11134000.0,1.8374478898947484
11136800.0,1.1365927023227123
11141280.0,1.8049284926094264
11143000.0,0.6535780789415042
11143200.0,1.1675375360231641
11143250.0,1.1285002859551538
11147500.0,3.158497771922816
11149400.0,0.6422792912477948
11150500.0,0.7956227874051961
11151300.0,1.403696922927901
11151700.0,0.8600471666312647
11152000.0,1.4248052021471727
11152300.0,1.4341278464143976
11152500.0,2.2907179248471934
11153000.0,1.1703738994334039
11156500.0,2.331265820484601
11159000.0,1.6776749223943725
11159200.0,0.6410221423901497
11160000.0,0.6472515635915287
11160500.0,0.9672053328780539
11161000.0,1.5898083228737236
11162500.0,0.831220627566903
11162570.0,0.8225129220660122
11164500.0,0.10004281190185957
11169500.0,0.7587295692756869
11176500.0,0.6405315344771144
11180700.0,0.9408454154136578
11181000.0,1.1383767580821251
11182500.0,0.32596517489677473
11189500.0,1.0547835131105352
11200800.0,0.1347516034574631
11224500.0,1.2630163040709192
11251000.0,0.20512463952604273
11264500.0,0.29731601613387526
11266500.0,0.29112774933701785
11274000.0,23.398595233914055
11274500.0,1.434771597080655
11276500.0,0.8642366652087037
11276600.0,0.18703655228443558
11277300.0,0.9434006103780092
11278000.0,3.7121570837656286
11278300.0,0.6248875194012352
11289000.0,1.1973486255443802
11290000.0,1.577644999033262
11370500.0,0.3943602965716478
11374000.0,0.9623008664155196
11376000.0,1.4318288357612243
11402000.0,0.14642217276994446
11451000.0,0.7299366827620122
11458000.0,12.607493176778187
11461000.0,2.123008939520873
11461500.0,2.0955103720725075
11462500.0,2.2757127669688986
11463000.0,1.4746408525687908
11464000.0,1.175888556934098
11467000.0,2.2913879651296676
11477000.0,0.9763921616376813
11478500.0,0.9614856157747996
11481000.0,1.4828259342536254
11481200.0,0.5004686953746993
11482500.0,2.285525052522146
11525500.0,4.552601449986793
